Date,NIFTY50,BRIT,CIPL,RLIN,ASPN,JAIA,TTPW,HPCL,REDY,BOSH,ZEE,UPLL,IOC,TEML,VODA,HALC,SHCM,TITN,PNBK,APSE,ULTC,TCS,TAMO,NEST,BHEL,SUN,HLL,LART,INUS,ARBN,UNSP,KTKM,RANB,TACN,SBIL,GAIL,JSTL,IDFC,BRTI,WIPR,ADEL,HDFL,JNSP,CAIL,DLF,APLH,LUPN,ONGC,BAJA,INBF,ITC,BJFN,MAHM,MRTI,HDBK,RELI,BPCL,HCLT,BJFS,AXBK,SIEM,INBK,INFY,DIVI,NTPC,ICBK,PGRD,ACC,EICH,TISC,YESB,VDAN,BOB,COAL,SBI,NMDC,HROM,LTIM,ABUJ,GRAS
2019-01-01,10910.1,-3091.572,521.695,-316.6,1371.55,-7.75,-76.7,256.7,2607.05,-19457.005,480.25,502.334,91.8,668.11,-22.801,222.75,-16973.25,928.0,-79.8,389.0,4009.2,1828.566,173.45,-10847.599,-73.8,433.55,1793.431,1411.333,243.855,-733.15,-621.0,1250.45,,-219.1,-598.85,120.717,303.95,-38.186,287.952,244.987,-157.25,-386.4,-162.9,,-180.3,-1266.4,-841.45,148.5,2726.65,844.75,280.969,2656.85,773.35,7476.8,1071.665,1008.154,340.971,474.73,652.195,627.3,-1062.65,1595.6,661.414,-1475.45,123.917,363.75,110.866,-1488.8,2319.51,51.575,184.25,202.1,-123.3,241.5,299.6,-67.556,3112.153,-1709.758,-222.9,828.701
2019-01-02,10792.5,-3105.321,513.217,-305.95,1383.3,-7.4,-74.85,256.55,2601.05,-19358.908,470.25,504.334,91.5,661.56,-22.197,214.55,-16939.95,932.15,-77.85,381.3,4006.1,1848.266,168.55,-10867.64,-73.0,440.05,1777.001,1395.28,245.714,-724.35,-619.75,1240.6,,-214.6,-601.7,116.767,288.7,-37.044,281.778,244.163,-154.85,-391.15,-158.2,,-173.1,-1258.75,-832.8,147.05,2692.0,842.3,278.882,2614.05,741.7,7267.85,1061.886,995.023,332.382,468.053,638.4,620.05,-1056.55,1576.6,665.392,-1470.9,122.5,364.6,108.233,-1483.95,2116.23,49.365,184.65,193.15,-119.35,236.7,293.9,-68.297,3031.503,-1729.814,-218.95,810.805
2019-01-03,10672.25,-3124.3,511.072,-289.25,1388.3,-7.25,-74.2,248.3,2577.35,-19182.044,461.45,497.767,88.433,642.235,-21.804,209.2,-16948.4,931.2,-77.85,378.1,3900.05,1825.827,166.05,-11036.779,-70.75,436.1,1780.785,1365.427,252.549,-715.9,-620.1,1235.25,,-210.05,-600.05,116.65,282.65,-37.176,282.544,244.125,-152.5,-391.3,-146.5,,-172.45,-1266.65,-821.05,142.4,2701.35,816.65,277.143,2586.2,718.3,7203.95,1053.555,982.747,327.321,469.042,638.33,607.95,-1044.9,1560.1,665.492,-1437.9,119.5,363.25,107.014,-1452.25,2021.145,48.125,184.1,187.95,-119.3,235.0,291.1,-66.251,2999.761,-1734.404,-213.85,795.096
2019-01-04,10727.35,-3111.149,511.471,-296.8,1385.85,-7.55,-75.05,248.2,2600.0,-19320.096,463.95,504.267,89.3,632.805,-21.865,210.9,-16737.1,928.45,-81.3,382.15,3914.55,1803.629,170.95,-10686.24,-71.4,433.8,1774.114,1358.624,265.055,-725.85,-604.6,1247.95,,-213.8,-602.85,117.717,287.95,-38.186,290.611,243.337,-152.55,-393.5,-152.35,,-175.15,-1293.0,-828.9,145.7,2734.2,829.8,279.23,2576.05,725.6,7234.5,1056.374,988.054,333.775,461.129,641.045,619.6,-1062.7,1548.2,657.436,-1460.5,121.458,365.2,108.594,-1469.1,2010.36,48.765,189.65,192.9,-121.7,236.5,297.65,-66.286,2973.093,-1689.551,-216.55,801.508
2019-01-07,10771.8,-3132.171,512.718,-299.45,1396.0,-7.6,-74.7,249.8,2558.65,-19391.309,462.95,509.167,88.967,638.751,-22.137,208.55,-16921.7,944.05,-80.55,381.65,3926.75,1823.857,175.35,-10622.13,-72.25,430.8,1777.35,1354.464,273.145,-724.75,-607.6,1246.6,,-214.95,-602.45,119.033,289.85,-39.065,292.864,243.188,-151.25,-393.05,-152.2,,-179.8,-1282.1,-820.45,147.85,2658.55,793.9,279.925,2553.6,729.55,7362.05,1057.97,993.539,330.153,465.679,640.715,637.45,-1062.05,1559.15,668.028,-1486.0,123.833,367.7,110.007,-1477.95,1983.04,48.55,187.15,193.45,-122.7,234.5,296.3,-66.991,2943.341,-1706.016,-218.0,815.925
2019-01-08,10802.15,-3078.122,512.319,-301.9,1401.25,-7.6,-74.95,247.95,2570.5,-19182.789,451.65,501.467,89.333,640.934,-22.318,206.5,-16753.85,946.15,-81.7,378.75,3916.3,1819.677,179.95,-10838.096,-71.35,448.05,1763.31,1352.898,277.051,-746.55,-600.3,1228.9,,-215.15,-612.5,118.2,293.9,-38.626,296.739,244.163,-153.45,-394.7,-157.75,,-181.5,-1249.5,-841.7,147.45,2694.85,812.55,282.51,2537.05,723.4,7439.5,1049.165,993.45,326.811,467.459,644.305,650.9,-1052.3,1577.75,666.387,-1458.85,122.458,380.15,109.397,-1480.4,2004.465,49.135,192.35,195.65,-123.85,233.3,305.3,-66.991,2955.63,-1684.562,-218.7,831.783
2019-01-09,10855.15,-3081.21,508.778,-300.6,1402.0,-7.45,-74.35,239.0,2603.1,-19357.466,451.25,509.867,88.0,644.511,-22.318,205.7,-16345.4,952.95,-80.7,377.3,3817.25,1813.335,183.05,-11081.193,-70.25,448.75,1777.399,1356.667,269.984,-757.25,-594.15,1238.25,,-212.6,-642.95,113.783,290.75,-37.967,301.471,246.75,-149.35,-396.0,-151.8,,-182.1,-1267.4,-838.15,145.3,2696.9,821.75,288.622,2524.35,726.3,7492.9,1056.049,998.935,315.761,464.121,639.91,670.1,-1053.55,1601.75,672.404,-1473.25,122.125,382.25,109.536,-1454.15,2029.105,47.92,186.45,194.75,-122.95,232.65,305.3,-64.381,2922.942,-1751.867,-212.85,830.491
2019-01-10,10821.6,-3077.524,511.92,-305.95,1396.35,-7.4,-74.9,232.9,2600.4,-19583.727,451.35,515.4,86.6,645.301,-22.408,204.0,-16496.15,966.7,-81.25,380.25,3818.2,1814.872,185.75,-11243.045,-68.85,444.6,1778.594,1363.078,265.055,-776.95,-586.55,1219.55,,-214.15,-634.75,114.633,289.3,-37.747,303.994,244.312,-151.1,-406.7,-149.7,,-183.55,-1285.4,-838.0,143.25,2725.3,814.25,287.827,2514.65,733.2,7391.6,1051.909,996.013,311.628,462.86,637.195,663.25,-1071.05,1565.9,675.984,-1520.45,123.417,379.5,108.455,-1447.8,2055.61,48.04,186.9,195.45,-123.45,233.0,305.55,-64.275,2905.081,-1786.043,-213.15,815.478
2019-01-11,10794.95,-3085.395,508.878,-307.7,1403.65,-7.35,-75.0,233.5,2588.15,-19398.663,451.05,522.3,87.467,649.621,-22.288,205.85,-15913.2,959.3,-80.65,377.15,3770.2,1770.667,180.3,-11101.628,-68.55,444.4,1761.866,1340.565,257.756,-769.85,-591.6,1223.2,,-211.9,-638.5,112.867,288.8,-36.912,302.012,246.525,-151.5,-406.6,-148.8,,-182.15,-1292.7,-839.35,144.65,2720.95,816.15,293.542,2514.2,727.9,7320.5,1053.605,987.514,313.207,464.937,637.165,666.5,-1057.85,1515.15,679.763,-1505.15,123.333,378.55,107.734,-1458.65,2050.76,47.42,184.25,196.6,-121.15,232.25,302.75,-65.051,2884.931,-1727.469,-212.85,809.562
2019-01-14,10737.6,-3102.133,510.624,-306.3,1388.6,-7.2,-74.3,233.95,2578.8,-18999.415,448.1,513.6,88.2,631.643,-21.714,206.15,-15496.55,957.5,-82.5,374.45,3776.6,1742.51,182.4,-11057.952,-67.8,450.85,1756.389,1305.622,260.453,-770.2,-596.85,1211.75,,-213.5,-620.1,108.3,283.9,-37.571,298.857,234.413,-148.35,-392.05,-144.0,,-181.15,-1322.6,-834.75,143.45,2699.15,790.95,292.498,2544.8,724.55,7408.7,1048.491,986.39,311.025,463.527,636.88,659.2,-1054.1,1484.05,698.063,-1530.45,121.292,373.35,106.709,-1459.6,2048.04,47.085,195.35,193.05,-120.95,230.9,300.4,-64.981,2852.84,-1725.474,-214.85,809.015
