Date,NIFTY50,BRIT,CIPL,RLIN,ASPN,JAIA,TTPW,HPCL,REDY,BOSH,ZEE,UPLL,IOC,TEML,VODA,HALC,SHCM,TITN,PNBK,APSE,ULTC,TCS,TAMO,NEST,BHEL,SUN,HLL,LART,INUS,ARBN,UNSP,KTKM,RANB,TACN,SBIL,GAIL,JSTL,IDFC,BRTI,WIPR,ADEL,HDFL,JNSP,CAIL,DLF,APLH,LUPN,ONGC,BAJA,INBF,ITC,BJFN,MAHM,MRTI,HDBK,RELI,BPCL,HCLT,BJFS,AXBK,SIEM,INBK,INFY,DIVI,NTPC,ICBK,PGRD,ACC,EICH,TISC,YESB,VDAN,BOB,COAL,SBI,NMDC,HROM,LTIM,ABUJ,GRAS
2023-01-02,18197.45,4292.15,1070.95,-137.85,3047.25,-11.0,-211.85,-237.1,4235.05,-17169.65,-243.1,722.0,-78.0,1009.5,-8.0,487.05,-23454.7,2565.75,-57.15,822.3,7017.95,3196.697,394.8,19561.55,-80.15,997.0,2558.4,2084.749,-189.95,-434.8,-869.7,1825.05,,762.3,1240.05,-96.6,775.3,-74.219,813.5,393.05,3841.2,570.3,-594.65,,-380.15,4454.35,-732.85,150.45,3573.95,-154.75,330.812,6553.75,1262.85,8403.3,1628.7,2338.554,333.85,1039.45,1552.5,941.6,-2828.35,1226.35,1524.0,3372.65,168.0,902.45,161.288,-2439.75,3228.85,119.25,-21.65,-316.1,-186.25,224.75,612.2,-126.05,2715.9,-4322.1,-526.5,1731.3
2023-01-03,18232.55,4241.85,1075.9,-138.6,3028.25,-10.95,-211.35,-237.7,4238.35,-17133.75,-240.1,719.35,-78.5,1023.8,-7.95,479.9,-23732.95,2613.6,-57.8,820.45,6993.6,3245.606,393.9,19727.3,-80.35,1009.1,2542.05,2084.25,-189.7,-441.3,-865.05,1832.85,,767.15,1268.4,-96.8,767.9,-74.483,817.6,397.05,3830.95,595.6,-598.5,,-380.05,4490.9,-737.95,149.55,3601.7,-150.65,329.073,6606.25,1249.3,8382.75,1639.35,2321.441,336.85,1041.35,1563.0,962.3,-2837.45,1240.95,1522.55,3393.0,167.6,901.35,161.7,-2442.7,3213.45,118.45,-22.05,-319.55,-187.5,224.1,612.4,-125.6,2720.4,-4349.15,-530.95,1717.05
2023-01-04,18042.95,4235.0,1066.9,-136.45,3016.85,-10.75,-208.1,-241.0,4253.5,-16857.4,-236.95,715.65,-78.1,1020.3,-7.8,461.5,-24007.55,2597.55,-56.25,810.0,7005.35,3248.841,385.6,19519.9,-79.2,1004.1,2536.1,2065.891,-185.35,-441.2,-851.45,1820.75,,762.25,1259.05,-95.4,736.3,-73.077,811.8,389.7,3827.05,598.6,-585.55,,-371.85,4433.3,-734.6,146.25,3552.85,-145.45,324.998,6571.0,1236.2,8422.8,1610.05,2286.488,336.3,1036.6,1547.85,957.45,-2815.45,1223.1,1494.8,3435.55,166.6,899.1,158.288,-2409.3,3215.25,115.75,-21.35,-308.3,-182.7,217.15,605.2,-121.6,2709.3,-4277.95,-518.85,1690.3
2023-01-05,17992.15,4313.2,1088.35,-133.75,3004.35,-10.5,-207.6,-245.95,4297.5,-17006.7,-239.75,720.3,-79.1,1011.65,-7.9,465.7,-24238.0,2562.1,-56.75,819.6,7007.0,3245.361,386.9,19776.0,-81.95,1016.2,2583.7,2082.653,-186.45,-443.9,-850.2,1820.3,,763.85,1267.65,-97.35,750.7,-73.824,807.1,386.9,3829.8,609.45,-593.55,,-372.75,4429.05,-742.85,146.5,3621.15,-144.05,331.408,6100.05,1252.65,8461.1,1599.7,2282.403,342.35,1044.1,1468.85,949.55,-2895.2,1215.85,1475.2,3461.85,169.9,879.15,156.6,-2440.2,3257.7,116.55,-21.45,-311.35,-184.05,218.15,605.1,-121.85,2767.15,-4260.2,-524.75,1698.3
2023-01-06,17859.45,4359.05,1076.35,-130.2,2978.4,-10.2,-205.4,-249.9,4271.75,-17065.7,-237.8,718.15,-80.05,986.15,-7.8,462.65,-23853.05,2538.1,-56.4,806.1,6982.2,3147.788,382.0,19885.25,-81.75,1008.7,2576.45,2081.855,-187.35,-442.05,-856.5,1786.8,,761.35,1269.05,-97.25,728.35,-72.901,796.0,382.0,3824.25,611.65,-591.1,,-369.75,4387.45,-738.1,147.35,3642.25,-140.25,332.998,5980.4,1264.9,8383.05,1594.4,2303.147,344.7,1032.8,1430.35,939.9,-2891.7,1181.9,1448.5,3434.9,169.0,870.1,156.075,-2415.95,3250.6,115.65,-21.1,-309.65,-183.25,214.25,600.65,-121.8,2742.55,-4197.6,-519.8,1680.6
2023-01-09,18101.2,4364.3,1087.45,-135.05,2984.15,-9.75,-206.2,-245.15,4334.0,-17221.3,-236.95,734.2,-80.1,1015.25,-7.45,470.75,-23752.3,2484.65,-57.1,816.65,7034.85,3254.036,389.45,20085.7,-81.45,1016.85,2624.05,2116.926,-185.85,-441.55,-863.1,1811.9,,766.95,1306.35,-98.45,742.35,-74.0,819.4,391.8,3855.3,608.45,-601.6,,-373.95,4407.7,-749.85,148.15,3620.75,-142.25,335.98,5993.35,1310.35,8377.0,1597.5,2357.528,346.75,1067.45,1414.0,958.75,-2903.65,1218.65,1484.45,3459.5,170.4,873.35,156.825,-2464.65,3262.55,117.55,-21.25,-315.5,-185.15,214.95,607.7,-123.7,2752.35,-4295.25,-524.75,1673.6
2023-01-10,17914.15,4326.85,1078.7,-133.0,2960.35,-9.8,-206.05,-249.2,4288.7,-17405.7,-231.5,724.65,-80.6,1002.65,-7.25,477.55,-23559.5,2468.2,-55.1,796.4,6920.3,3221.152,412.9,20023.95,-79.85,1011.85,2643.85,2101.91,-183.2,-450.0,-864.1,1795.55,,769.25,1302.6,-98.1,745.2,-73.34,792.85,393.05,3646.9,600.2,-599.0,,-373.05,4466.65,-758.85,149.35,3574.2,-137.6,331.359,5904.15,1314.9,8293.15,1568.3,2322.666,347.35,1063.85,1413.3,952.15,-2870.15,1227.55,1469.75,3501.85,167.95,861.35,158.85,-2418.95,3167.55,118.85,-20.65,-316.05,-180.7,216.75,595.15,-123.05,2712.05,-4231.6,-514.45,1651.0
2023-01-11,17895.7,4314.3,1047.6,-134.3,2940.4,-9.95,-205.85,-256.45,4261.9,-17350.95,-228.75,717.8,-83.55,1006.35,-7.45,490.95,-23516.7,2437.4,-56.4,796.45,7021.95,3262.612,418.2,19758.3,-81.0,1028.0,2593.25,2120.568,-183.65,-447.55,-868.5,1801.85,,759.3,1291.3,-97.3,754.2,-74.351,765.55,393.85,3635.8,599.85,-604.4,,-372.1,4360.6,-754.05,146.8,3538.05,-140.15,329.768,5895.75,1312.6,8284.45,1590.9,2293.388,352.5,1054.8,1399.7,949.75,-2941.0,1213.25,1471.25,3411.45,166.05,866.3,158.962,-2394.95,3137.25,118.85,-20.05,-318.15,-181.25,213.4,596.7,-128.4,2693.75,-4225.5,-508.1,1635.05
2023-01-12,17858.2,4299.25,1061.15,-132.3,2915.95,-9.85,-205.7,-249.7,4310.6,-17379.0,-227.35,717.8,-81.6,1001.55,-7.35,485.65,-23854.85,2446.6,-55.85,792.95,7153.35,3268.15,412.25,19873.25,-80.0,1032.85,2590.05,2154.891,-184.5,-446.35,-857.75,1779.5,,754.25,1315.7,-96.8,763.45,-73.472,756.9,394.5,3647.2,598.4,-602.65,,-374.9,4359.75,-754.35,146.15,3570.3,-139.5,327.83,5898.4,1319.9,8369.2,1599.4,2243.864,345.05,1071.65,1387.8,935.55,-2981.3,1209.15,1480.6,3305.3,165.95,860.65,160.125,-2364.4,3103.25,118.1,-19.9,-316.6,-181.7,213.9,594.9,-128.5,2694.25,-4276.15,-510.4,1642.4
2023-01-13,17956.6,4336.1,1067.75,-132.65,2909.15,-9.85,-206.45,-251.2,4320.4,-17332.9,-230.25,718.8,-82.3,1003.15,-7.3,488.5,-24139.75,2417.2,-56.8,794.65,7248.9,3307.552,411.5,19784.35,-80.7,1031.6,2624.0,2148.555,-184.6,-435.15,-846.0,1780.3,,752.9,1312.95,-96.1,768.5,-75.01,764.3,393.9,3721.15,604.5,-610.0,,-377.05,4335.55,-755.75,146.95,3605.3,-138.7,326.737,5977.8,1328.15,8453.4,1600.65,2240.233,350.1,1077.8,1391.15,934.15,-2966.6,1234.4,1503.65,3351.7,167.8,873.45,160.5,-2367.2,3162.05,120.45,-20.15,-319.2,-184.9,215.1,600.1,-131.1,2728.45,-4287.45,-518.65,1655.1
2023-01-16,17894.85,4309.6,1059.6,-139.25,2916.05,-9.75,-206.95,-247.4,4326.05,-17089.0,-229.65,714.05,-82.25,1034.45,-7.2,483.05,-24060.4,2405.85,-58.9,787.05,7284.85,3334.05,413.0,19735.6,-79.75,1035.45,2597.1,2132.391,-182.0,-446.5,-844.25,1784.8,,747.25,1300.9,-96.9,759.2,-77.295,759.15,398.6,3619.8,604.2,-589.5,,-373.75,4294.65,-756.95,147.6,3583.15,-141.0,328.178,6010.9,1315.6,8380.1,1585.3,2218.898,348.95,1093.7,1383.9,913.15,-2943.7,1239.25,1525.5,3333.2,165.95,865.25,161.738,-2361.4,3139.05,119.95,-20.15,-317.1,-185.8,213.75,603.0,-127.55,2758.6,-4277.0,-517.0,1648.5
2023-01-17,18053.3,4362.05,1069.1,-141.3,2940.9,-9.65,-207.7,-243.35,4351.75,-16999.05,-228.35,719.2,-81.6,1046.05,-7.25,487.9,-24091.55,2407.95,-57.75,784.75,7377.65,3378.4,415.3,19945.75,-79.8,1032.7,2667.55,2208.121,-175.95,-442.8,-849.8,1797.65,,750.05,1298.45,-97.45,757.5,-76.197,765.7,396.35,3639.35,609.45,-585.85,,-375.4,4322.85,-753.25,147.85,3606.95,-140.3,330.216,5984.95,1320.85,8479.35,1608.9,2250.401,348.4,1111.05,1372.9,917.7,-2945.45,1230.35,1539.5,3347.4,167.7,865.15,163.8,-2346.0,3179.95,119.35,-20.1,-317.95,-181.8,213.1,592.95,-125.9,2766.85,-4274.25,-517.5,1660.7
2023-01-18,18165.35,4393.7,1063.4,-139.5,2945.25,-9.75,-207.5,-243.3,4364.35,-17063.0,-230.05,732.35,-82.15,1048.35,-7.3,502.95,-24059.9,2424.1,-56.75,786.5,7283.45,3390.0,408.4,19823.35,-80.9,1040.1,2686.2,2261.4,-177.05,-444.0,-849.45,1799.1,,750.5,1310.65,-97.25,767.15,-76.724,776.55,403.2,3596.7,601.05,-601.05,,-376.4,4339.8,-767.15,149.25,3609.9,-141.3,332.601,5998.65,1322.15,8494.05,1637.3,2246.679,346.05,1115.15,1367.3,924.0,-3064.65,1223.0,1545.4,3388.5,169.45,869.5,164.512,-2365.0,3177.6,122.45,-20.35,-324.15,-178.25,216.85,591.45,-128.4,2769.95,-4273.75,-520.45,1676.5
