ASSET,SECTOR
ABUJ,BASIC MATERIALS
ACC,BASIC MATERIALS
ADEL,BASIC MATERIALS
APLH,HEALTHCARE
APSE,INDUSTRIALS
ARBN,HEALTHCARE
ASPN,BASIC MATERIALS
AXBK,FINANCIALS
BAJA,CONSUMER CYCLICALS
BHEL,INDUSTRIALS
BJFN,FINANCIALS
BJFS,FINANCIALS
BOB,FINANCIALS
BOSH,CONSUMER CYCLICALS
BPCL,ENERGY
BRIT,CONSUMER NON CYCLICALS
BRTI,TELECOMMUNICATIONS SERVICES
CAIL,ENERGY
CIPL,HEALTHCARE
COAL,ENERGY
DIVI,HEALTHCARE
DLF,FINANCIALS
EICH,CONSUMER CYCLICALS
GAIL,UTILITIES
GRAS,BASIC MATERIALS
HALC,BASIC MATERIALS
HCLT,TECHNOLOGY
HDBK,FINANCIALS
HDFL,CONSUMER NON CYCLICALS
HLL,CONSUMER NON CYCLICALS
HPCL,ENERGY
HROM,CONSUMER CYCLICALS
ICBK,FINANCIALS
IDFC,FINANCIALS
INBF,FINANCIALS
INBK,FINANCIALS
INFY,TECHNOLOGY
INUS,TELECOMMUNICATIONS SERVICES
IOC,ENERGY
ITC,CONSUMER NON CYCLICALS
JAIA,INDUSTRIALS
JNSP,BASIC MATERIALS
JSTL,BASIC MATERIALS
KTKM,FINANCIALS
LART,INDUSTRIALS
LTIM,TECHNOLOGY
LUPN,HEALTHCARE
MAHM,CONSUMER CYCLICALS
MRTI,CONSUMER CYCLICALS
NEST,CONSUMER NON CYCLICALS
NMDC,BASIC MATERIALS
NTPC,UTILITIES
ONGC,ENERGY
PGRD,UTILITIES
PNBK,FINANCIALS
RANB,HEALTHCARE
REDY,HEALTHCARE
RELI,ENERGY
RLIN,UTILITIES
SBI,FINANCIALS
SBIL,FINANCIALS
SHCM,BASIC MATERIALS
SIEM,INDUSTRIALS
SUN,HEALTHCARE
TACN,CONSUMER NON CYCLICALS
TAMO,CONSUMER CYCLICALS
TCS,TECHNOLOGY
TEML,TECHNOLOGY
TISC,BASIC MATERIALS
TITN,CONSUMER CYCLICALS
TTPW,UTILITIES
ULTC,BASIC MATERIALS
UNSP,CONSUMER NON CYCLICALS
UPLL,BASIC MATERIALS
VDAN,BASIC MATERIALS
VODA,TELECOMMUNICATIONS SERVICES
WIPR,TECHNOLOGY
YESB,FINANCIALS
ZEE,CONSUMER CYCLICALS
