Date,NIFTY50,TCS,HLL,LART,BRTI,ITC,HDBK,RELI,INFY,ICBK,SBI
2019-01-01,10910.1,1828.566,1793.431,1411.333,287.952,280.969,1071.665,1008.154,661.414,363.75,299.6
2019-01-02,10792.5,1848.266,1777.001,1395.28,281.778,278.882,1061.886,995.023,665.392,364.6,293.9
2019-01-03,10672.25,1825.827,1780.785,1365.427,282.544,277.143,1053.555,982.747,665.492,363.25,291.1
2019-01-04,10727.35,1803.629,1774.114,1358.624,290.611,279.23,1056.374,988.054,657.436,365.2,297.65
2019-01-07,10771.8,1823.857,1777.35,1354.464,292.864,279.925,1057.97,993.539,668.028,367.7,296.3
2019-01-08,10802.15,1819.677,1763.31,1352.898,296.739,282.51,1049.165,993.45,666.387,380.15,305.3
2019-01-09,10855.15,1813.335,1777.399,1356.667,301.471,288.622,1056.049,998.935,672.404,382.25,305.3
2019-01-10,10821.6,1814.872,1778.594,1363.078,303.994,287.827,1051.909,996.013,675.984,379.5,305.55
2019-01-11,10794.95,1770.667,1761.866,1340.565,302.012,293.542,1053.605,987.514,679.763,378.55,302.75
2019-01-14,10737.6,1742.51,1756.389,1305.622,298.857,292.498,1048.491,986.39,698.063,373.35,300.4
2019-01-15,10886.8,1794.932,1782.229,1312.474,304.4,294.734,1058.594,1015.933,722.628,372.75,301.65
2019-01-16,10890.3,1797.19,1765.002,1313.697,300.975,292.25,1057.746,1021.554,732.772,375.3,303.15
2019-01-17,10905.2,1820.398,1744.042,1317.515,299.263,292.15,1063.782,1020.25,729.341,374.6,297.4
2019-01-18,10906.95,1826.5,1736.674,1289.961,280.426,289.665,1062.759,1065.126,726.954,372.0,294.95
2019-01-21,10961.85,1834.236,1739.462,1286.683,280.607,288.125,1071.689,1113.106,740.927,371.7,292.45
2019-01-22,10922.75,1827.701,1742.748,1273.567,274.748,287.976,1065.553,1110.813,741.275,369.05,290.25
2019-01-23,10831.5,1802.427,1759.675,1273.86,273.712,275.602,1050.362,1102.854,727.65,367.4,286.65
2019-01-24,10849.8,1827.365,1752.008,1267.89,271.864,277.192,1048.79,1121.874,732.0,364.8,288.05
2019-01-25,10780.55,1845.864,1749.32,1258.199,277.137,277.49,1045.672,1120.57,730.35,357.2,285.4
2019-01-28,10661.55,1878.73,1735.578,1272.881,275.019,273.068,1039.761,1105.776,727.95,343.55,281.6
2019-01-29,10652.2,1905.397,1749.22,1250.956,277.452,276.745,1026.515,1088.779,727.9,346.85,280.6
2019-01-30,10651.8,1904.1,1725.969,1267.009,273.712,273.813,1015.09,1075.334,725.9,365.9,287.45
2019-01-31,10830.95,1935.524,1755.742,1286.438,276.145,276.944,1037.665,1103.618,749.55,364.45,293.65
2019-02-01,10893.65,1950.756,1791.639,1296.519,281.057,279.13,1042.904,1124.123,757.05,354.65,284.4
2019-02-04,10912.25,1970.264,1794.925,1279.684,276.281,275.403,1050.113,1160.951,755.9,354.55,283.95
2019-02-05,10934.35,1964.786,1813.694,1276.943,277.768,272.471,1054.677,1161.535,754.85,352.65,284.65
2019-02-06,11062.45,1993.856,1822.158,1286.536,278.263,276.0,1058.968,1178.353,763.3,359.3,289.05
2019-02-07,11069.4,2001.64,1831.219,1268.575,280.426,278.584,1056.274,1160.501,764.0,358.65,287.4
2019-02-08,10943.6,1980.979,1809.562,1235.002,282.319,273.813,1058.968,1149.079,760.9,355.1,286.0
2019-02-11,10888.8,1985.303,1797.115,1220.075,281.373,275.403,1067.449,1127.091,762.8,350.05,280.5
2019-02-12,10831.4,1971.561,1786.859,1220.418,280.517,273.614,1062.485,1129.923,750.45,344.3,275.4
2019-02-13,10793.65,1984.823,1791.29,1190.858,279.886,275.155,1069.345,1120.525,754.9,339.75,268.2
2019-02-14,10746.05,1964.834,1777.449,1201.576,271.098,276.198,1052.757,1100.965,740.05,343.95,267.1
2019-02-15,10724.4,1950.515,1765.251,1216.747,274.523,278.385,1047.992,1119.176,741.95,342.15,262.95
2019-02-18,10640.95,1893.433,1744.44,1218.118,272.676,273.018,1042.629,1097.278,741.05,338.75,259.95
2019-02-19,10604.35,1830.488,1730.55,1231.625,273.712,274.211,1039.711,1093.68,724.3,343.25,262.9
2019-02-20,10735.45,1840.05,1726.119,1249.488,278.489,274.161,1051.834,1110.093,740.7,345.2,267.7
2019-02-21,10789.85,1839.521,1747.228,1256.878,279.3,273.366,1055.6,1121.38,733.45,351.3,268.0
2019-02-22,10791.65,1850.525,1761.02,1253.208,282.86,272.62,1043.402,1108.295,734.95,352.05,270.95
2019-02-25,10880.1,1907.704,1762.613,1248.803,285.924,275.006,1060.34,1108.25,754.9,355.6,270.15
2019-02-26,10835.3,1959.164,1764.704,1239.015,284.302,273.813,1052.981,1097.413,742.5,348.2,266.35
2019-02-27,10806.65,1977.808,1729.106,1257.465,288.538,273.416,1043.802,1100.335,735.25,345.55,267.65
2019-02-28,10792.5,1906.07,1725.272,1265.54,286.645,274.36,1036.468,1107.125,734.3,350.15,269.05
2019-03-01,10863.5,1917.554,1727.264,1280.81,277.272,276.497,1039.361,1102.629,741.9,354.25,272.95
2019-03-05,10987.45,1910.538,1717.257,1278.118,277.452,280.82,1051.21,1113.061,732.5,363.25,276.45
2019-03-06,11053.0,1921.59,1692.562,1289.081,278.849,284.0,1049.788,1137.478,732.5,371.95,278.1
2019-03-07,11058.2,1934.755,1698.138,1323.73,277.272,288.324,1060.889,1142.379,722.95,370.8,281.75
2019-03-08,11035.4,1943.789,1694.355,1311.006,278.218,290.212,1061.737,1139.546,712.35,370.6,281.2
2019-03-11,11168.05,1936.197,1707.648,1318.004,300.84,291.156,1061.861,1172.822,711.25,375.85,287.35
2019-03-12,11301.2,1933.938,1727.413,1359.456,317.063,292.697,1083.089,1197.329,706.95,388.2,286.9
2019-03-13,11341.7,1922.455,1740.159,1349.375,304.4,293.094,1110.802,1211.673,708.45,391.9,293.15
2019-03-14,11343.25,1909.866,1729.903,1350.5,308.591,293.691,1109.904,1206.502,708.35,387.9,291.9
2019-03-15,11426.85,1960.366,1691.168,1366.895,304.355,289.019,1123.998,1188.605,718.55,395.3,298.4
2019-03-18,11462.2,1943.885,1690.322,1349.668,297.956,291.951,1128.214,1214.146,710.2,398.05,298.95
2019-03-19,11532.4,1943.885,1692.413,1329.162,303.499,297.616,1131.357,1237.978,722.25,398.4,303.05
2019-03-20,11521.05,1936.437,1680.364,1341.838,301.02,297.07,1146.947,1236.989,738.95,392.9,303.8
2019-03-22,11456.9,1927.404,1670.905,1365.133,298.812,296.374,1135.547,1206.682,743.1,391.8,298.05
2019-03-25,11354.25,1906.839,1666.723,1347.564,294.711,293.243,1138.117,1191.123,735.25,383.5,294.0
2019-03-26,11483.25,1905.301,1676.63,1343.698,295.432,291.604,1153.108,1229.615,727.75,394.1,303.5
2019-03-27,11445.05,1891.126,1673.643,1337.482,290.656,291.305,1147.171,1213.427,729.7,393.2,308.8
2019-03-28,11570.0,1922.262,1676.73,1357.303,297.37,298.163,1148.843,1223.095,737.8,400.55,319.0
2019-03-29,11623.9,1923.56,1699.532,1355.933,300.209,295.43,1156.875,1226.017,743.85,400.5,320.75
2019-04-01,11669.15,1952.389,1682.804,1382.262,307.149,295.43,1153.333,1251.738,755.1,398.25,322.75
2019-04-02,11713.2,1998.18,1679.966,1379.864,321.253,296.076,1144.877,1249.805,759.4,397.15,329.0
2019-04-03,11643.95,1998.18,1663.686,1348.836,315.44,294.337,1143.829,1236.764,753.3,392.1,320.5
2019-04-04,11598.0,1935.908,1659.454,1339.685,321.569,292.995,1139.439,1216.844,747.9,388.75,321.8
2019-04-05,11665.95,1968.39,1652.036,1344.676,321.434,292.746,1150.24,1217.609,759.3,390.55,317.05
2019-04-08,11604.5,1989.964,1657.811,1344.53,319.901,290.957,1142.158,1195.44,767.25,387.1,312.8
2019-04-09,11671.95,2009.904,1673.344,1346.047,316.882,294.486,1141.085,1200.117,760.6,397.15,314.75
2019-04-10,11584.3,1960.654,1686.936,1342.474,306.428,292.896,1116.19,1197.374,752.7,394.2,310.9
2019-04-11,11596.7,1940.713,1703.117,1348.787,312.151,294.585,1126.243,1211.223,742.7,390.05,314.9
2019-04-12,11643.45,1935.908,1714.319,1332.05,308.185,303.878,1130.109,1207.896,747.75,394.6,315.25
2019-04-15,11690.35,2030.854,1714.718,1328.135,313.367,303.629,1141.858,1205.243,727.5,392.75,315.6
2019-04-16,11787.15,2048.632,1731.147,1352.115,314.314,305.319,1149.965,1208.48,724.1,407.0,315.75
2019-04-18,11752.8,2066.17,1732.492,1331.854,312.691,302.536,1144.278,1246.432,717.05,404.4,310.8
2019-04-22,11594.45,2077.126,1732.442,1331.316,314.9,299.952,1131.831,1209.919,721.05,394.5,310.05
2019-04-23,11575.95,2070.975,1736.773,1319.619,310.667,301.542,1120.157,1226.557,728.2,396.5,305.25
2019-04-24,11726.15,2098.267,1745.137,1331.805,318.52,304.574,1137.343,1249.625,736.45,401.1,310.75
2019-04-25,11641.8,2109.367,1726.816,1326.422,322.446,302.288,1129.211,1234.246,728.55,395.4,306.2
2019-04-26,11754.65,2151.218,1739.91,1329.407,319.452,302.685,1137.942,1252.593,738.0,407.2,312.5
2019-04-30,11748.15,2172.167,1750.216,1319.962,314.397,299.505,1156.151,1252.593,751.35,407.5,309.95
2019-05-02,11724.75,2128.971,1716.211,1329.945,318.225,303.132,1175.284,1263.61,730.8,395.55,308.15
2019-05-03,11712.25,2048.824,1686.339,1334.693,325.342,302.387,1181.345,1267.027,723.6,401.8,310.0
2019-05-06,11598.25,2073.666,1661.794,1324.024,327.305,305.12,1161.639,1245.488,718.4,401.3,308.75
2019-05-07,11497.9,2067.996,1690.272,1337.629,318.961,300.051,1158.596,1208.256,724.55,386.5,305.45
2019-05-08,11359.45,2068.861,1681.51,1331.512,318.52,298.809,1151.063,1168.64,719.35,382.2,298.25
2019-05-09,11301.8,2087.792,1696.495,1327.694,309.637,298.014,1142.906,1129.968,721.05,381.4,299.3
2019-05-10,11278.9,2052.476,1680.265,1326.764,318.127,295.927,1145.7,1125.202,716.85,385.1,308.05
2019-05-13,11148.2,2045.701,1694.753,1289.717,312.778,287.529,1141.06,1108.025,719.7,376.3,306.9
2019-05-14,11222.05,2010.721,1691.268,1313.355,330.397,292.548,1141.409,1133.566,713.85,380.4,314.65
2019-05-15,11157.0,2013.652,1663.935,1297.694,325.145,295.231,1140.811,1130.373,716.1,377.05,312.1
2019-05-16,11257.1,2026.482,1681.012,1308.803,319.207,292.945,1152.759,1137.973,733.1,382.5,315.75
2019-05-17,11407.15,2013.7,1729.405,1333.029,322.397,299.555,1178.427,1139.816,723.9,389.7,319.25
2019-05-20,11828.25,2060.308,1764.953,1420.68,333.832,305.12,1213.474,1192.427,722.4,407.7,344.7
2019-05-21,11709.1,2027.443,1777.648,1418.38,324.556,304.027,1199.181,1204.928,709.3,400.15,337.55
2019-05-22,11737.9,2000.535,1760.771,1430.126,328.974,297.915,1200.203,1205.468,709.75,405.35,341.1
2019-05-23,11657.05,1973.916,1746.382,1444.808,332.556,286.435,1163.46,1199.622,701.05,410.85,342.2
2019-05-24,11844.1,1968.102,1742.15,1511.415,346.691,288.672,1184.039,1202.275,709.2,431.75,355.35
