Date,NIFTY50,TCS,HLL,LART,BRTI,ITC,HDBK,RELI,INFY,ICBK,SBI
2021-01-01,14018.5,2870.113,2387.55,1294.082,505.656,212.541,1425.05,1804.37,1260.45,527.5,279.4
2021-01-04,14132.9,2979.105,2426.5,1311.642,507.57,212.093,1416.0,1807.411,1288.25,531.7,281.05
2021-01-05,14199.5,3031.592,2450.55,1303.361,504.527,210.155,1426.7,1784.942,1293.8,537.25,281.75
2021-01-06,14146.25,2990.916,2417.3,1311.043,515.619,204.142,1420.55,1737.869,1282.1,546.7,285.05
2021-01-07,14137.35,2972.587,2368.85,1335.937,535.202,201.558,1416.25,1735.055,1262.15,541.1,287.7
2021-01-08,14347.25,3058.938,2391.2,1370.31,530.294,200.266,1431.65,1755.527,1312.1,542.05,286.0
2021-01-11,14484.75,3113.385,2429.1,1346.963,537.067,201.26,1451.45,1722.435,1376.2,544.7,282.5
2021-01-12,14563.45,3111.817,2375.9,1346.763,555.324,205.186,1481.0,1776.725,1371.75,548.0,292.5
2021-01-13,14564.85,3096.232,2372.35,1349.457,567.593,209.957,1470.65,1760.157,1387.15,556.5,306.8
2021-01-14,14595.6,3186.161,2398.55,1373.503,569.851,212.839,1468.75,1779.948,1370.5,553.3,307.25
2021-01-15,14433.7,3169.155,2351.15,1351.103,591.544,216.516,1466.65,1758.931,1344.95,543.0,303.85
2021-01-18,14281.3,3157.785,2332.6,1333.044,576.133,218.404,1483.1,1801.147,1312.05,533.15,294.45
2021-01-19,14521.15,3195.962,2363.15,1366.768,581.385,217.51,1503.85,1830.607,1316.65,546.45,298.6
2021-01-20,14644.7,3243.107,2355.95,1379.539,585.164,216.317,1492.0,1865.378,1339.45,551.0,302.55
2021-01-21,14590.35,3208.851,2367.65,1368.215,570.636,212.392,1474.8,1905.959,1339.7,552.7,294.85
2021-01-22,14371.9,3237.52,2409.35,1359.035,566.219,209.41,1443.55,1860.748,1340.85,533.8,283.7
2021-01-25,14238.9,3225.955,2399.6,1358.237,570.047,206.528,1462.85,1762.154,1325.1,538.05,280.95
2021-01-27,13967.5,3196.305,2391.3,1356.79,560.281,209.36,1409.6,1720.393,1301.0,522.35,275.65
2021-01-28,13817.55,3133.086,2300.4,1342.323,560.379,205.335,1371.45,1703.643,1276.2,528.25,282.35
2021-01-29,13634.6,3049.577,2263.9,1331.697,543.398,202.006,1390.5,1672.231,1239.05,537.0,282.1
2021-02-01,14281.2,3077.021,2248.6,1445.59,568.477,214.628,1476.75,1720.665,1260.9,603.8,310.7
2021-02-02,14647.85,3139.849,2230.45,1516.78,588.305,216.864,1560.55,1748.355,1271.25,617.35,333.1
2021-02-03,14789.95,3136.516,2232.85,1525.111,597.63,215.423,1574.8,1752.758,1284.65,622.35,335.95
2021-02-04,14895.65,3125.147,2245.6,1526.358,589.532,228.542,1579.1,1746.993,1279.35,628.3,355.1
2021-02-05,14924.25,3095.252,2269.55,1513.088,570.391,232.915,1597.6,1746.494,1272.1,614.15,393.1
2021-02-08,15115.8,3150.287,2236.65,1548.308,586.292,231.673,1605.25,1771.641,1303.55,629.6,397.05
2021-02-09,15109.3,3113.826,2216.25,1562.925,587.912,227.598,1611.85,1775.908,1305.55,633.35,394.8
2021-02-10,15106.5,3149.503,2235.5,1549.356,579.323,226.157,1581.75,1792.386,1296.5,632.15,392.25
2021-02-11,15173.3,3142.348,2263.0,1527.056,587.078,225.063,1572.35,1866.286,1292.65,630.65,390.15
2021-02-12,15163.3,3127.45,2241.55,1517.927,575.446,216.119,1581.95,1853.485,1309.8,647.6,393.15
2021-02-15,15314.7,3077.511,2215.2,1534.19,582.759,217.262,1616.6,1845.314,1309.65,673.95,406.95
2021-02-16,15313.45,3047.078,2196.1,1545.964,583.004,216.914,1626.65,1869.736,1290.4,658.35,402.35
2021-02-17,15208.9,3012.087,2163.9,1544.866,582.906,216.417,1586.5,1891.297,1281.3,657.35,411.75
2021-02-18,15118.95,2996.649,2146.85,1521.17,578.194,217.51,1554.3,1877.18,1292.45,644.65,415.2
2021-02-19,14981.75,3010.861,2181.1,1505.405,570.636,214.628,1539.1,1888.619,1291.3,624.05,399.55
2021-02-22,14675.7,2899.713,2167.6,1448.933,559.79,205.782,1548.0,1823.072,1265.2,609.85,389.5
2021-02-23,14707.8,2921.031,2179.25,1482.956,555.127,207.223,1529.15,1837.007,1266.35,616.3,395.6
2021-02-24,14982.0,2889.568,2178.85,1523.165,562.391,207.571,1606.45,1871.097,1274.3,641.1,406.25
2021-02-25,15097.35,2935.831,2163.3,1503.06,568.477,207.869,1606.4,1946.767,1274.55,628.0,407.25
2021-02-26,14529.15,2836.837,2132.05,1439.254,546.048,202.602,1534.4,1893.612,1253.3,597.75,390.15
2021-03-01,14761.55,2866.143,2143.4,1469.536,522.392,205.633,1558.9,1908.047,1267.0,608.35,394.95
2021-03-02,14919.1,2946.662,2177.95,1482.307,531.226,208.615,1568.2,1911.951,1304.5,610.5,394.2
2021-03-03,15245.6,2998.365,2193.5,1493.532,536.232,208.664,1586.85,1999.196,1343.55,632.1,405.05
2021-03-04,15080.75,2989.151,2196.9,1459.309,529.656,208.416,1552.05,1975.365,1330.35,620.75,395.65
2021-03-05,14938.1,2948.328,2201.1,1460.257,522.981,207.273,1530.0,1977.952,1316.7,609.45,383.65
2021-03-08,14956.2,2947.25,2174.55,1511.791,516.012,206.726,1519.5,1989.21,1335.75,608.05,389.6
2021-03-09,15098.4,2990.376,2198.5,1504.906,512.135,206.528,1562.5,1989.164,1345.55,625.1,387.6
