Date,NIFTY50,TCS,HLL,LART,BRTI,ITC,HDBK,RELI,INFY,ICBK,SBI
2011-12-30,4624.3,549.124,405.665,432.696,309.582,132.636,212.951,311.597,341.366,124.482,161.905
2012-01-31,5199.25,535.758,377.336,570.228,329.59,134.382,245.504,367.423,338.696,164.027,206.16
2012-02-29,5385.2,578.126,378.581,569.032,315.621,136.82,257.976,369.064,355.649,164.782,224.755
2012-03-30,5295.55,552.98,408.304,569.445,304.535,149.504,259.348,337.52,353.534,161.855,209.635
2012-04-30,5248.15,589.788,415.822,533.708,279.841,161.759,270.648,335.047,303.679,160.427,213.81
2012-05-31,4924.25,589.197,426.178,510.108,272.676,151.118,252.538,317.285,299.64,142.409,205.605
2012-06-29,5278.9,604.384,452.565,608.075,274.929,170.588,281.149,331.787,309.488,163.545,215.9
2012-07-31,5229.0,588.393,465.36,595.72,270.422,170.094,293.222,334.372,274.675,174.8,200.51
2012-08-31,5258.5,635.752,512.907,584.192,223.332,176.354,297.014,344.625,291.289,164.027,183.735
2012-09-28,5703.3,613.113,543.526,694.645,239.239,179.484,313.876,376.461,312.664,192.509,224.06
2012-10-31,5619.7,622.386,544.273,707.717,243.024,186.171,316.396,362.207,291.456,190.945,211.025
2012-11-30,5879.85,621.676,535.809,725.575,303.724,196.681,351.193,356.901,300.565,199.973,217.03
2012-12-31,5905.1,594.165,522.615,699.147,285.789,188.972,338.546,377.518,285.992,206.955,238.55
2013-01-31,6034.75,635.941,471.932,670.74,306.067,202.71,320.811,398.697,344.061,216.573,243.8
2013-02-28,5693.05,717.719,441.163,595.024,291.016,194.243,311.981,365.962,358.554,189.164,208.09
2013-03-28,5682.55,745.515,464.962,594.328,262.942,203.896,311.981,347.548,356.377,190.036,207.275
2013-04-30,5930.2,652.145,581.314,657.842,287.276,216.678,340.392,354.428,275.724,211.573,226.43
2013-05-31,5985.95,708.943,589.977,609.358,272.135,223.959,349.472,362.567,297.463,209.9,204.675
2013-06-28,5842.2,718.263,582.658,612.469,262.942,213.713,334.007,387.883,308.212,194.682,195.38
2013-07-31,5742.0,858.945,609.942,552.794,310.483,225.145,304.198,392.132,366.281,165.282,170.84
2013-08-30,5471.8,961.942,628.761,472.794,269.566,203.402,296.34,383.948,383.08,146.136,151.895
2013-09-30,5735.3,912.076,624.778,514.686,287.186,224.289,295.866,369.806,371.628,160.664,161.49
2013-10-31,6299.15,999.248,607.253,635.372,330.852,220.731,339.644,411.31,408.248,203.809,179.675
2013-11-29,6176.1,948.293,592.218,682.518,294.711,211.111,329.916,383.656,413.755,194.3,181.945
2013-12-31,6304.0,1027.635,568.22,698.375,297.64,212.066,332.186,402.542,429.925,199.773,176.65
2014-01-31,6089.5,1060.28,567.673,643.333,283.896,214.207,313.552,373.741,456.499,179.582,152.385
2014-02-28,6276.95,1076.697,546.911,724.085,259.202,215.888,334.056,359.711,471.763,189.791,153.325
2014-03-31,6704.2,1009.231,602.972,829.958,286.375,232.492,373.568,418.528,404.905,226.373,191.77
2014-04-30,6696.4,1035.749,565.084,844.444,295.658,224.519,359.849,420.798,392.325,226.073,207.86
2014-05-30,7229.95,1013.11,600.781,1008.492,310.123,225.178,395.495,478.761,362.55,257.827,254.225
2014-06-30,7611.35,1147.499,617.709,1110.417,303.634,214.174,409.863,456.592,401.544,257.845,268.625
2014-07-31,7721.3,1239.697,683.676,980.694,336.079,234.6,416.074,452.567,415.371,267.5,243.925
2014-08-28,7954.35,1211.973,739.289,996.093,333.285,234.106,420.838,449.083,443.881,283.055,246.07
2014-09-30,7964.8,1314.919,742.824,951.558,365.19,243.924,435.356,425.25,462.253,260.645,244.57
2014-10-31,8322.2,1253.055,735.206,1080.238,359.512,234.04,454.912,449.914,499.687,295.755,270.28
2014-11-28,8588.25,1269.944,782.753,1069.732,344.551,239.278,477.512,445.89,537.75,318.982,321.4
2014-12-31,8282.7,1229.223,756.863,975.31,317.874,242.935,474.743,400.721,486.594,321.0,311.85
2015-01-30,8808.9,1192.609,928.579,1109.667,336.8,242.837,537.479,411.558,528.37,327.909,308.95
2015-02-28,8901.85,1285.44,906.225,1153.746,321.073,238.092,534.41,389.029,566.495,314.682,301.65
2015-03-31,8491.0,1227.156,869.83,1122.13,354.465,214.702,510.214,371.425,547.229,286.818,267.05
2015-04-30,8181.5,1183.792,846.729,1064.479,343.469,212.395,493.302,387.77,479.12,301.045,269.75
2015-05-29,8433.65,1254.232,855.89,1079.585,383.575,215.525,524.108,394.358,499.077,288.409,278.15
2015-06-30,8368.5,1225.715,912.797,1163.338,378.573,207.651,532.39,449.712,485.645,280.0,262.75
2015-07-31,8532.85,1206.399,917.726,1168.852,377.447,214.8,554.591,450.499,531.38,274.909,270.05
2015-08-31,7971.3,1232.009,857.234,1045.947,319.316,214.24,512.584,384.87,539.94,252.636,247.35
2015-09-30,7948.9,1243.541,811.281,956.778,304.49,216.645,533.213,387.748,573.267,245.773,237.15
2015-10-30,8065.8,1198.927,797.241,920.563,314.584,220.5,548.579,426.15,560.192,251.818,237.05
