Date,NIFTY50,423AD5,55DE4F,5989A8,846D05,9BDFD3,A7A10A,A9C322,C2AEC9,CB3DD5,E7786E
2017-12-29,10530.7,1297.909,1362.026,1231.576,477.351,261.638,934.121,828.332,514.112,314.0,309.9
2018-01-31,11027.7,1495.464,1363.519,1386.471,396.418,269.738,1000.623,864.53,567.494,352.95,313.25
2018-02-28,10492.85,1458.322,1312.139,1290.206,386.234,263.427,940.008,858.459,578.521,313.25,268.0
2018-03-28,10113.7,1368.998,1327.673,1283.11,359.332,253.936,940.955,793.842,558.392,278.35,249.9
2018-04-30,10739.35,1697.151,1502.475,1371.202,369.11,279.727,969.991,866.329,591.792,284.2,246.4
2018-05-31,10736.15,1673.127,1604.588,1341.349,336.71,269.987,1067.349,828.602,607.728,285.8,269.55
2018-06-29,10714.3,1775.664,1634.162,1248.069,344.235,264.57,1051.884,874.558,650.027,275.4,259.35
2018-07-31,11356.5,1864.507,1724.277,1274.692,352.031,295.877,1087.33,1066.61,678.818,304.25,293.5
2018-08-31,11680.5,1997.316,1772.52,1340.517,345.948,317.892,1028.311,1116.658,716.611,342.6,309.6
2018-09-28,10930.45,2098.507,1601.551,1245.132,305.121,295.927,1000.797,1131.317,726.059,305.55,265.5
2018-10-31,10386.6,1862.537,1614.795,1269.994,263.483,278.385,953.752,954.418,682.647,355.0,281.4
2018-11-30,10876.75,1891.463,1746.531,1402.132,282.544,284.05,1061.861,1050.018,663.801,355.15,284.65
2018-12-31,10862.55,1819.197,1811.902,1407.075,281.643,279.925,1058.494,1008.378,655.348,360.15,295.9
2019-01-31,10830.95,1935.524,1755.742,1286.438,276.145,276.944,1037.665,1103.618,749.55,364.45,293.65
2019-02-28,10792.5,1906.07,1725.272,1265.54,286.645,274.36,1036.468,1107.125,734.3,350.15,269.05
2019-03-29,11623.9,1923.56,1699.532,1355.933,300.209,295.43,1156.875,1226.017,743.85,400.5,320.75
2019-04-30,11748.15,2172.167,1750.216,1319.962,314.397,299.505,1156.151,1252.593,751.35,407.5,309.95
2019-05-31,11922.8,2110.856,1780.885,1524.531,342.372,276.844,1209.982,1196.249,737.75,423.7,352.5
2019-06-28,11788.85,2140.31,1779.988,1520.273,340.262,272.173,1219.161,1126.956,732.0,437.1,361.25
2019-07-31,11118.0,2119.649,1719.298,1357.89,331.378,268.546,1123.325,1048.849,793.65,424.6,332.2
