Date,NIFTY50,423AD5,55DE4F,5989A8,846D05,9BDFD3,A7A10A,A9C322,C2AEC9,CB3DD5,E7786E
2021-12-31,17354.05,3664.129,2360.15,1891.634,683.8,216.715,1479.4,2149.946,1887.75,740.15,460.45
2022-01-31,17339.85,3662.07,2273.75,1904.904,729.3,218.852,1485.7,2166.696,1736.2,788.8,538.3
2022-02-28,16793.9,3483.635,2172.1,1812.662,686.5,214.528,1426.25,2142.139,1715.6,742.7,483.2
2022-03-31,17464.75,3665.697,2048.65,1763.673,754.95,249.115,1470.35,2391.982,1906.85,730.3,493.55
2022-04-29,17102.55,3476.284,2234.85,1690.538,739.0,257.961,1384.6,2533.154,1567.55,743.3,496.3
2022-05-31,16584.55,3297.554,2353.25,1650.777,700.2,268.993,1388.95,2390.075,1503.6,752.85,468.1
2022-06-30,15780.25,3202.235,2230.6,1554.744,684.95,271.825,1348.0,2356.484,1461.9,707.2,465.9
2022-07-29,17158.25,3236.344,2637.4,1803.982,677.95,301.194,1434.2,2278.227,1549.7,818.6,528.35
2022-08-30,17759.3,3147.396,2659.85,1918.174,726.6,318.538,1486.1,2394.887,1492.95,887.3,531.25
2022-09-30,17094.35,2944.898,2696.45,1843.543,799.9,330.166,1421.35,2158.662,1413.45,862.0,530.6
2022-10-31,18012.2,3129.753,2550.7,2018.548,832.0,346.565,1496.7,2314.677,1537.65,908.7,573.8
2022-11-30,18758.35,3323.479,2684.35,2070.182,848.75,337.918,1608.45,2479.681,1634.95,952.9,602.45
2022-12-30,18105.3,3192.041,2561.05,2081.107,806.1,329.52,1628.15,2312.498,1508.2,890.85,613.7
