Date,Scenario,NIFTY50,423AD5,55DE4F,5989A8,846D05,9BDFD3,A7A10A,A9C322,C2AEC9,CB3DD5,E7786E
2021-12-31,1,17354.05,3664.13,2360.15,1891.63,683.8,216.72,1479.4,2149.95,1887.75,740.15,460.45
2021-12-31,2,17354.05,3664.13,2360.15,1891.63,683.8,216.72,1479.4,2149.95,1887.75,740.15,460.45
2021-12-31,3,17354.05,3664.13,2360.15,1891.63,683.8,216.72,1479.4,2149.95,1887.75,740.15,460.45
2021-12-31,4,17354.05,3664.13,2360.15,1891.63,683.8,216.72,1479.4,2149.95,1887.75,740.15,460.45
2021-12-31,5,17354.05,3664.13,2360.15,1891.63,683.8,216.72,1479.4,2149.95,1887.75,740.15,460.45
2022-01-31,1,17339.85,3662.07,2273.75,1904.9,729.3,218.85,1485.7,2166.7,1736.2,788.8,538.3
2022-01-31,2,18173.08,4221.85,2362.74,2129.54,567.86,223.42,1584.72,2243.9,2083.76,831.96,465.43
2022-01-31,3,17303.57,3898.43,2287.0,1729.45,670.45,214.41,1450.29,2353.01,2159.1,748.99,456.95
2022-01-31,4,17059.76,3524.04,2496.69,1995.24,744.78,214.39,1426.14,2004.54,2003.42,721.95,439.34
2022-01-31,5,16923.17,3982.32,2230.59,1960.83,742.7,210.75,1432.23,1994.71,1862.57,742.85,472.42
2022-02-28,1,16793.9,3483.64,2172.1,1812.66,686.5,214.53,1426.25,2142.14,1715.6,742.7,483.2
2022-02-28,2,17291.68,4116.99,2273.7,1981.69,553.28,218.2,1488.72,2228.14,2124.25,738.38,398.19
2022-02-28,3,17242.14,3839.1,2247.31,1701.36,695.94,212.41,1448.62,2360.48,2115.17,719.6,418.67
2022-02-28,4,15975.39,3390.3,2669.13,1730.4,785.36,180.11,1369.56,1886.68,1889.17,682.95,418.03
2022-02-28,5,18033.48,3704.51,2100.68,2119.2,746.32,211.38,1580.44,2258.78,1883.99,826.88,653.37
2022-03-31,1,17464.75,3665.7,2048.65,1763.67,754.95,249.12,1470.35,2391.98,1906.85,730.3,493.55
2022-03-31,2,16666.86,3864.82,2300.62,1970.79,514.74,210.34,1490.22,2060.43,2050.34,656.12,371.3
2022-03-31,3,18570.39,3874.33,2213.78,1822.88,728.88,228.72,1616.9,2613.97,2142.68,823.07,499.12
2022-03-31,4,12261.69,3095.28,2821.01,1178.08,661.45,156.54,1002.35,1581.52,1656.28,444.65,271.58
